num_equipe,equipe,categorie
1,ECUADOR,Group A
2,NETHERLANDS,Group A
3,QATAR,Group A
4,SENEGAL,Group A
5,ENGLAND,Group B
6,IRAN,Group B
7,UNITED STATES,Group B
8,WALES,Group B
9,ARGENTINA,Group C
10,MEXICO,Group C
11,POLAND,Group C
12,SAUDI ARABIA,Group C
13,AUSTRALIA,Group D
14,DENMARK,Group D
15,FRANCE,Group D
16,TUNISIA,Group D
17,COSTA RICA,Group E
18,GERMANY,Group E
19,JAPAN,Group E
20,SPAIN,Group E
21,BELGIUM,Group F
22,CANADA,Group F
23,CROATIA,Group F
24,MOROCCO,Group F
25,BRAZIL,Group G
26,CAMEROON,Group G
27,SERBIA,Group G
28,SWITZERLAND,Group G
29,GHANA,Group H
30,KOREA REPUBLIC,Group H
31,PORTUGAL,Group H
32,URUGUAY,Group H
