num_match,categorie,num_eq1,num_eq2,date_match
1,Play off,3,1,2022-11-20 17:00:00
2,Play off,5,6,2022-11-21 14:00:00
3,Play off,4,2,2022-11-21 17:00:00
4,Play off,7,8,2022-11-21 20:00:00
5,Play off,9,12,2022-11-22 11:00:00
6,Play off,14,16,2022-11-22 14:00:00
7,Play off,10,11,2022-11-22 17:00:00
8,Play off,15,13,2022-11-22 20:00:00
9,Play off,24,23,2022-11-23 11:00:00
10,Play off,18,19,2022-11-23 14:00:00
11,Play off,20,17,2022-11-23 17:00:00
12,Play off,21,22,2022-11-23 20:00:00
13,Play off,28,26,2022-11-24 11:00:00
14,Play off,32,30,2022-11-24 14:00:00
15,Play off,31,29,2022-11-24 17:00:00
16,Play off,25,27,2022-11-24 20:00:00
17,Play off,8,6,2022-11-25 11:00:00
18,Play off,3,4,2022-11-25 14:00:00
19,Play off,2,1,2022-11-25 17:00:00
20,Play off,5,7,2022-11-25 20:00:00
21,Play off,16,13,2022-11-26 11:00:00
22,Play off,11,12,2022-11-26 14:00:00
23,Play off,15,14,2022-11-26 17:00:00
24,Play off,9,10,2022-11-26 20:00:00
25,Play off,19,17,2022-11-27 11:00:00
26,Play off,21,24,2022-11-27 14:00:00
27,Play off,23,22,2022-11-27 17:00:00
28,Play off,20,18,2022-11-27 20:00:00
29,Play off,26,27,2022-11-28 11:00:00
30,Play off,30,29,2022-11-28 14:00:00
31,Play off,25,28,2022-11-28 17:00:00
32,Play off,31,32,2022-11-28 20:00:00
33,Play off,2,3,2022-11-29 16:00:00
34,Play off,1,4,2022-11-29 16:00:00
35,Play off,8,5,2022-11-29 20:00:00
36,Play off,6,7,2022-11-29 20:00:00
37,Play off,13,14,2022-11-30 16:00:00
38,Play off,16,15,2022-11-30 16:00:00
39,Play off,11,9,2022-11-30 20:00:00
40,Play off,12,10,2022-11-30 20:00:00
41,Play off,23,21,2022-12-01 16:00:00
42,Play off,22,24,2022-12-01 16:00:00
43,Play off,19,20,2022-12-01 20:00:00
44,Play off,17,18,2022-12-01 20:00:00
45,Play off,29,32,2022-12-02 16:00:00
46,Play off,30,31,2022-12-02 16:00:00
47,Play off,27,28,2022-12-02 20:00:00
48,Play off,26,25,2022-12-02 20:00:00
49,Round of 16,2,7,2022-12-03 16:00:00
50,Round of 16,9,13,2022-12-03 20:00:00
51,Round of 16,15,11,2022-12-04 16:00:00
52,Round of 16,5,4,2022-12-04 20:00:00
53,Round of 16,19,23,2022-12-05 16:00:00
54,Round of 16,25,30,2022-12-05 20:00:00
55,Round of 16,24,20,2022-12-06 16:00:00
56,Round of 16,31,28,2022-12-06 20:00:00
57,Quarter-final,23,25,2022-12-09 16:00:00
58,Quarter-final,2,9,2022-12-09 20:00:00
59,Quarter-final,24,31,2022-12-10 16:00:00
60,Quarter-final,5,15,2022-12-10 20:00:00
61,Semi-final,9,23,2022-12-13 20:00:00
62,Semi-final,15,24,2022-12-14 20:00:00
63,Play-off for third place,23,24,2022-12-17 16:00:00
64,Final,9,15,2022-12-18 16:00:00
